-0.16,,C1-C2,From C1,from C2
-0.17,,-2.23,-4.765076,-8.137158
-0.17,,2.43,6.890516,11.409678
-0.14,,-2.31,-4.965172,-8.472726
-0.16,,2.66,7.465792,12.374436
-0.17,,-2.34,-5.040208,-8.598564
-0.16,,2.64,7.415768,12.290544
-0.16,,-2.33,-5.015196,-8.556618
-0.17,,2.57,7.240684,11.996922
-0.16,,-2.31,-4.965172,-8.472726
-0.14,,2.4,6.81548,11.28384
-0.17,,-2.38,-5.140256,-8.766348
-0.16,,2.66,7.465792,12.374436
-0.16,,-2.38,-5.140256,-8.766348
-0.15,,2.24,6.415288,10.612704
-0.16,,-2.41,-5.215292,-8.892186
-0.16,,2.61,7.340732,12.164706
-0.17,,-2.53,-5.515436,-9.395538
-0.15,,2.39,6.790468,11.241894
-0.15,,-2.43,-5.265316,-8.976078
-0.15,,2.24,6.415288,10.612704
-0.15,,-2.33,-5.015196,-8.556618
-0.13,,3.23,8.891476,14.765358
-0.14,,-2.36,-5.090232,-8.682456
-0.16,,2.44,6.915528,11.451624
-0.16,,-2.27,-4.865124,-8.304942
-0.14,,2.65,7.44078,12.33249
-0.16,,-2.38,-5.140256,-8.766348
-0.17,,2.46,6.965552,11.535516
-0.15,,-2.31,-4.965172,-8.472726
-0.16,,2.07,5.990084,9.899622
-0.16,,-2.1,-4.43992,-7.59186
-0.16,,2.46,6.965552,11.535516
-0.15,,-2.41,-5.215292,-8.892186
-0.17,,2.34,6.665408,11.032164
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.15,,,,
-0.17,,,,
-0.14,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.13,,,,
-0.19,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.19,,,,
-0.14,,,,
-0.15,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.15,,,,
-0.17,,,,
-0.14,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.18,,,,
-0.18,,,,
-0.15,,,,
-0.16,,,,
-0.18,,,,
-0.19,,,,
-0.15,,,,
-0.17,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.15,,,,
-0.18,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.18,,,,
-0.13,,,,
-0.14,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.15,,,,
-0.18,,,,
-0.14,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.14,,,,
-0.2,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.17,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.14,,,,
-0.18,,,,
-0.19,,,,
-0.17,,,,
-0.16,,,,
-0.18,,,,
-0.2,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.18,,,,
-0.14,,,,
-0.19,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.19,,,,
-0.18,,,,
-0.15,,,,
-0.17,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.19,,,,
-0.17,,,,
-0.17,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.15,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.18,,,,
-0.14,,,,
-0.14,,,,
-0.16,,,,
-0.17,,,,
-0.12,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.14,,,,
-0.15,,,,
-0.15,,,,
-0.14,,,,
-0.16,,,,
-0.15,,,,
-0.14,,,,
-0.14,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.12,,,,
-0.13,,,,
-0.15,,,,
-0.16,,,,
-0.13,,,,
-0.13,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.14,,,,
-0.15,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.14,,,,
-0.16,,,,
-0.18,,,,
-0.16,,,,
-0.14,,,,
-0.18,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.18,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.13,,,,
-0.14,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.15,,,,
-0.17,,,,
-0.18,,,,
-0.17,,,,
-0.17,,,,
-0.18,,,,
-0.2,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.17,,,,
-0.17,,,,
-0.18,,,,
-0.17,,,,
-0.19,,,,
-0.17,,,,
-0.17,,,,
-0.15,,,,
-0.19,,,,
-0.18,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.18,,,,
-0.14,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.14,,,,
-0.17,,,,
-0.17,,,,
-0.15,,,,
-0.19,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.13,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.13,,,,
-0.14,,,,
-0.17,,,,
-0.16,,,,
-0.14,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.18,,,,
-0.15,,,,
-0.16,,,,
-0.18,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.15,,,,
-0.18,,,,
-0.13,,,,
-0.17,,,,
-0.17,,,,
-0.17,,,,
-0.13,,,,
-0.19,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.14,,,,
-0.17,,,,
-0.18,,,,
-0.14,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.17,,,,
-0.18,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.18,,,,
-0.15,,,,
-0.14,,,,
-0.16,,,,
-0.18,,,,
-0.13,,,,
-0.13,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.14,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.14,,,,
-0.15,,,,
-0.14,,,,
-0.15,,,,
-0.14,,,,
-0.17,,,,
-0.17,,,,
-0.15,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.16,,,,
-0.13,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.17,,,,
-0.14,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.14,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.13,,,,
-0.2,,,,
-0.18,,,,
-0.16,,,,
-0.16,,,,
-0.2,,,,
-0.16,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.14,,,,
-0.17,,,,
-0.14,,,,
-0.16,,,,
-0.16,,,,
-0.14,,,,
-0.15,,,,
-0.18,,,,
-0.17,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.2,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.17,,,,
-0.17,,,,
-0.17,,,,
-0.17,,,,
-0.19,,,,
-0.18,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.17,,,,
-0.14,,,,
-0.19,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.19,,,,
-0.13,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.14,,,,
-0.17,,,,
-0.17,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.16,,,,
-0.17,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.15,,,,
-0.16,,,,
-0.15,,,,
-0.15,,,,
-0.13,,,,
-0.13,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.18,,,,
-0.15,,,,
-0.15,,,,
-0.18,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.18,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.17,,,,
-0.17,,,,
-0.14,,,,
-0.18,,,,
-0.18,,,,
-0.16,,,,
-0.16,,,,
-0.18,,,,
-0.17,,,,
-0.15,,,,
-0.17,,,,
-0.16,,,,
-0.16,,,,
-0.15,,,,
-0.17,,,,
-0.15,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
-0.16,,,,
