Slosh Data ,Height Data (h1-h2),Phi (atan(h1-h2/dia)
-0.16,-0.775712515489467,-0.0656438967961334
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.13,-0.59,-0.05
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.13,-0.59,-0.05
-0.19,-0.96,-0.08
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.19,-0.96,-0.08
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.19,-0.96,-0.08
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.13,-0.59,-0.05
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.18,-0.90,-0.08
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.2,-1.0,-0.1
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.18,-0.90,-0.08
-0.19,-0.96,-0.08
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.2,-1.0,-0.1
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.14,-0.65,-0.06
-0.19,-0.96,-0.08
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.19,-0.96,-0.08
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.19,-0.96,-0.08
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.14,-0.65,-0.06
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.12,-0.53,-0.04
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.12,-0.53,-0.04
-0.13,-0.59,-0.05
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.13,-0.59,-0.05
-0.13,-0.59,-0.05
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.13,-0.59,-0.05
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.2,-1.0,-0.1
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.17,-0.84,-0.07
-0.19,-0.96,-0.08
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.19,-0.96,-0.08
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.19,-0.96,-0.08
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.13,-0.59,-0.05
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.13,-0.59,-0.05
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.18,-0.90,-0.08
-0.13,-0.59,-0.05
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.13,-0.59,-0.05
-0.19,-0.96,-0.08
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.18,-0.90,-0.08
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.18,-0.90,-0.08
-0.13,-0.59,-0.05
-0.13,-0.59,-0.05
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.13,-0.59,-0.05
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.15,-0.71,-0.06
-0.13,-0.59,-0.05
-0.2,-1.0,-0.1
-0.18,-0.90,-0.08
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.2,-1.0,-0.1
-0.16,-0.78,-0.07
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.17,-0.84,-0.07
-0.14,-0.65,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.14,-0.65,-0.06
-0.15,-0.71,-0.06
-0.18,-0.90,-0.08
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
-0.2,-1.0,-0.1
-0.15,-0.71,-0.06
-0.16,-0.78,-0.07
-0.16,-0.78,-0.07
-0.17,-0.84,-0.07
