#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
-0.21,0.32
-0.23,0.35
-0.15,0.48
-0.09,0.38
-0.12,0.31
-0.07,0.33
-0.03,0.39
-0.07,0.69
-0.16,1.00
-0.06,1.44
-0.07,1.84
-0.30,2.02
-0.06,2.57
-0.16,2.93
-0.05,3.38
0.02,3.56
-0.02,3.78
-0.04,3.95
0.00,4.16
0.07,4.06
0.01,4.20
0.09,4.35
0.03,4.08
-0.01,4.31
-0.07,4.07
0.04,4.11
-0.05,4.06
0.06,4.08
0.30,4.29
0.90,4.27
1.71,4.36
1.99,4.35
2.50,4.47
2.77,4.51
3.07,4.42
3.19,4.46
3.24,4.55
3.27,4.41
3.23,4.40
3.24,4.46
3.11,4.36
3.14,4.25
3.02,4.48
3.01,4.42
2.90,4.35
2.83,4.30
2.75,4.38
2.81,4.26
2.74,4.22
2.61,4.12
2.58,4.12
2.48,4.30
2.41,4.36
2.48,4.43
2.34,4.33
2.39,4.28
2.20,4.46
2.24,4.32
2.24,4.25
2.10,4.13
2.15,4.34
2.05,4.16
2.16,4.15
2.07,4.17
2.08,4.04
2.07,3.99
2.17,3.98
2.79,3.78
2.89,4.24
2.97,3.92
3.15,3.77
2.97,3.97
2.81,3.83
2.83,3.98
2.75,3.77
2.86,3.87
2.77,3.83
2.70,3.56
2.56,3.70
2.61,3.55
2.63,3.37
2.53,3.41
2.34,3.44
2.30,3.41
2.23,3.61
2.29,3.65
2.13,3.80
2.20,3.78
2.14,3.63
2.18,3.84
2.11,3.66
2.10,3.66
2.06,3.59
2.08,3.49
1.98,3.51
2.04,3.35
1.99,3.46
2.07,3.33
1.96,3.26
2.11,3.44
2.31,3.39
2.57,3.36
2.51,3.18
2.52,3.11
2.54,3.04
2.45,2.96
2.42,3.09
2.30,2.81
2.39,2.83
2.23,2.70
2.27,2.73
2.17,2.63
2.29,2.49
2.03,2.64
2.21,2.71
1.98,2.68
2.13,2.68
2.10,2.80
2.16,2.81
2.09,2.84
1.99,2.66
2.12,2.69
2.02,2.47
1.97,2.64
1.83,2.65
2.09,2.48
1.82,2.34
2.05,2.36
1.89,2.27
1.98,2.16
2.29,2.44
2.90,2.49
2.93,2.29
2.96,2.10
3.02,2.32
3.05,2.20
3.04,2.06
2.94,2.02
2.90,2.06
2.68,1.86
2.74,1.91
2.63,1.85
2.74,1.84
2.69,1.73
2.56,1.83
2.58,2.04
2.51,2.16
2.45,2.55
2.57,2.75
2.46,2.77
2.41,2.84
2.15,3.01
2.16,2.79
2.18,2.70
2.08,2.72
2.08,2.73
2.07,2.59
2.09,2.51
2.04,2.55
2.01,2.45
1.98,2.31
2.06,2.36
1.98,2.33
2.06,2.31
1.84,2.08
1.98,2.26
1.94,2.16
2.03,2.02
1.91,2.10
1.88,2.03
2.11,2.11
1.83,1.76
1.89,1.97
1.88,1.75
1.97,1.63
1.85,1.74
1.84,1.85
1.99,1.95
1.79,1.96
1.64,2.30
1.84,2.28
1.94,2.54
1.85,2.43
1.90,2.52
1.84,2.40
1.77,2.34
1.76,2.39
1.90,2.27
1.84,2.22
1.76,2.05
1.78,2.21
1.78,2.12
1.79,2.11
1.77,2.11
1.76,1.98
1.76,1.94
1.73,1.81
1.91,1.80
1.83,1.90
1.87,1.69
1.76,1.65
1.87,1.65
1.83,1.57
1.85,1.39
1.94,1.44
1.66,1.45
1.73,1.51
1.66,1.42
1.71,1.68
1.58,2.00
1.73,2.13
1.74,2.32
1.66,2.34
1.76,2.29
1.91,2.32
1.82,2.30
1.69,2.36
1.73,2.33
1.78,2.18
1.72,2.19
1.63,2.06
1.56,2.02
1.65,1.93
1.52,1.89
1.51,2.02
1.56,1.86
1.73,1.91
1.62,1.81
1.74,1.79
1.55,1.82
1.70,1.67
1.73,1.59
1.66,1.57
1.72,1.51
1.68,1.38
1.62,1.33
1.60,1.34
1.75,1.42
1.67,1.24
1.57,1.28
1.57,1.64
1.62,1.60
1.62,2.03
1.50,1.95
1.59,2.08
1.78,2.13
1.69,1.94
1.55,2.00
1.45,2.08
1.58,2.04
1.43,1.86
1.42,2.07
1.23,1.90
1.35,1.71
1.13,1.83
1.23,1.83
1.41,1.79
1.40,1.54
1.48,1.68
1.52,1.51
1.70,1.62
1.53,1.41
1.56,1.42
1.53,1.39
1.54,1.25
1.49,1.14
1.40,1.16
1.28,1.26
1.42,1.08
1.28,1.18
1.48,1.35
1.43,1.46
1.17,1.79
1.23,1.81
1.37,1.99
1.17,1.93
1.13,2.05
1.12,1.98
1.18,1.97
1.07,1.84
0.93,1.84
0.95,1.75
1.00,1.68
0.92,1.83
0.85,1.77
0.98,1.60
0.93,1.58
0.97,1.58
1.33,1.50
1.37,1.40
1.36,1.41
1.36,1.43
1.50,1.45
1.45,1.25
1.30,1.18
1.24,1.20
1.32,1.14
1.36,1.12
1.35,1.16
1.27,1.20
1.35,0.98
1.30,1.16
1.14,1.36
1.26,1.43
1.27,1.59
1.17,1.67
1.18,1.81
1.13,1.78
0.98,1.60
0.93,1.69
0.97,1.74
1.04,1.47
0.91,1.54
0.98,1.51
0.91,1.39
0.81,1.20
0.78,1.38
0.92,1.27
1.14,1.23
1.07,1.17
1.05,1.12
1.17,1.23
1.27,1.02
1.16,1.09
1.19,0.91
1.21,1.06
1.18,0.95
1.22,0.97
1.20,0.95
1.22,0.98
0.98,0.86
0.96,0.87
1.08,1.21
1.01,1.13
0.97,1.29
0.98,1.54
1.01,1.62
0.92,1.35
0.98,1.64
0.85,1.70
0.78,1.60
0.71,1.54
0.81,1.54
0.76,1.52
0.71,1.45
0.58,1.33
0.71,1.40
0.75,1.31
0.74,1.21
0.84,1.28
0.96,1.19
1.00,1.15
1.09,1.16
1.06,1.08
1.13,1.14
1.08,1.06
1.08,1.13
1.01,1.00
1.06,0.82
1.00,0.91
0.97,0.96
0.98,0.93
0.98,0.89
0.76,1.12
0.83,1.15
0.87,1.22
0.78,1.41
0.78,1.51
0.78,1.51
0.85,1.47
0.52,1.35
0.73,1.56
0.72,1.49
0.66,1.44
0.42,1.46
0.45,1.25
0.50,1.34
0.41,1.24
0.57,1.25
0.70,1.19
0.83,1.16
0.60,1.10
0.91,1.05
0.85,1.07
0.99,0.87
0.89,1.06
0.91,0.96
1.00,0.87
0.82,0.85
0.94,1.02
0.94,0.75
0.75,0.87
0.80,0.92
0.85,0.88
0.78,0.93
0.66,1.00
0.66,1.25
0.67,1.19
0.63,1.22
0.64,1.46
0.59,1.35
0.63,1.36
0.50,1.23
