c1,c2,c1-c2,h1,h2,H1-h2,Phi,H2 adjusted ,H1-h2 adjusted,
-0.6,0.56,-1.16,6.6,8.89,-2.31490720415087,-0.193718428572396,6.89,-0.29,
-0.52,0.62,-1.14,6.74,9.05,-2.31,-0.19,7.05,-0.31,
-0.43,0.42,-0.85,6.92,8.62,-1.71,-0.14,6.62,0.30,
-0.5,0.58,-1.08,6.8,8.96,-2.18534678062048,-0.18312405769582,6.96,-0.16,
-0.5,0.7,-1.2,6.8,9.2,-2.4,-0.2,7.2,-0.4,
-0.52,0.71,-1.23,6.74,9.24,-2.50,-0.21,7.24,-0.50,
-0.45,0.68,-1.13,6.88,9.17,-2.30,-0.19,7.17,-0.29,
-0.55,1.04,-1.59,6.68,9.93,-3.25,-0.27,7.93,-1.25,
-0.56,1.51,-2.07,6.66,10.92,-4.27,-0.35,8.92,-2.26,
-0.43,1.52,-1.95,6.92,10.94,-4.03,-0.33,8.94,-2.02,
-0.47,1.87,-2.34,6.84,11.68,-4.85,-0.39,9.68,-2.84,
-0.62,2.18,-2.80,6.54,12.34,-5.80,-0.46,10.34,-3.80,
-0.55,2.52,-3.07,6.68,13.05,-6.38,-0.50,11.05,-4.37,
-0.48,2.76,-3.24,6.82,13.56,-6.74,-0.52,11.56,-4.74,
-0.57,2.99,-3.56,6.64,14.04,-7.41,-0.56,12.04,-5.40,
-0.72,3.38,-4.10,6.34,14.87,-8.53,-0.63,12.87,-6.53,
-0.72,3.59,-4.31,6.34,15.31,-8.97,-0.65,13.31,-6.97,
-0.74,3.57,-4.31,6.30,15.27,-8.97,-0.65,13.27,-6.97,
-0.89,3.64,-4.53,6.00,15.41,-9.42,-0.67,13.41,-7.41,
-0.84,3.73,-4.57,6.10,15.60,-9.51,-0.68,13.60,-7.50,
-0.84,3.7,-4.54,6.10,15.5,-9.44196918161024,-0.674842689914525,13.5,-7.4,
-0.82,3.84,-4.66,6.14,15.84,-9.70,-0.69,13.84,-7.70,
-1.01,3.62,-4.63,5.76,15.37,-9.61,-0.68,13.37,-7.61,
-0.89,3.54,-4.43,6.00,15.20,-9.20,-0.66,13.20,-7.20,
-1.09,3.38,-4.47,5.60,14.87,-9.27,-0.67,12.87,-7.27,
-1.03,3.38,-4.41,5.72,14.87,-9.15,-0.66,12.87,-7.15,
-0.99,3.32,-4.31,5.80,14.74,-8.94,-0.65,12.74,-6.94,
-0.58,3.19,-3.77,6.62,14.46,-7.85,-0.59,12.46,-5.84,
-0.25,3.31,-3.56,7.28,14.72,-7.44,-0.56,12.72,-5.44,
0.52,3.08,-2.56,8.81,14.23,-5.42,-0.43,12.23,-3.42,
0.9,3.2,-2.3,9.6,14.5,-4.9,-0.4,12.5,-2.9,
1.28,3.13,-1.85,10.33,14.34,-4.01,-0.33,12.34,-2.01,
1.73,2.96,-1.23,11.23,13.98,-2.75,-0.23,11.98,-0.75,
1.8,2.84,-1.04,11.4,13.73,-2.3603612848697,-0.197424999447532,11.73,-0.33,
1.96,2.76,-0.80,11.69,13.56,-1.87,-0.16,11.56,0.13,
1.97,2.92,-0.95,11.71,13.90,-2.19,-0.18,11.90,-0.19,
2.03,2.71,-0.68,11.83,13.45,-1.63,-0.14,11.45,0.38,
2.07,2.62,-0.55,11.91,13.26,-1.36,-0.11,11.26,0.65,
1.9,2.37,-0.47,11.6,12.74,-1.1698663109828,-0.0988182960303955,10.74,0.86,
1.7,2.34,-0.64,11.2,12.67,-1.5057371358385,-0.126918934465542,10.67,0.53,
1.68,2.24,-0.56,11.13,12.46,-1.33,-0.11,10.46,0.67,
1.79,1.96,-0.17,11.35,11.87,-0.52,-0.04,9.87,1.48,
1.56,1.87,-0.31,10.89,11.68,-0.79,-0.07,9.68,1.21,
1.4,2.06,-0.66,10.6,12.08,-1.5140763691164,-0.127614264278857,10.08,0.52,
1.41,1.86,-0.45,10.59,11.66,-1.07,-0.09,9.66,0.93,
1.32,1.71,-0.39,10.41,11.34,-0.94,-0.08,9.34,1.07,
1.21,2.06,-0.85,10.19,12.08,-1.89,-0.16,10.08,0.11,
1.02,2.59,-1.57,9.81,13.20,-3.39,-0.28,11.20,-1.39,
1.01,2.97,-1.96,9.79,14.00,-4.21,-0.34,12.00,-2.21,
0.85,3.26,-2.41,9.47,14.61,-5.14,-0.41,12.61,-3.14,
0.98,3.57,-2.59,9.73,15.27,-5.54,-0.44,13.27,-3.54,
0.81,3.69,-2.88,9.39,15.52,-6.13,-0.48,13.52,-4.13,
0.54,3.61,-3.07,8.85,15.35,-6.50,-0.50,13.35,-4.50,
0.46,3.36,-2.90,8.69,14.82,-6.13,-0.48,12.82,-4.13,
0.32,3.56,-3.24,8.41,15.24,-6.83,-0.52,13.24,-4.83,
0.11,3.55,-3.44,7.99,15.22,-7.23,-0.55,13.22,-5.23,
0.08,3.19,-3.11,7.93,14.46,-6.53,-0.51,12.46,-4.53,
-0.14,3.14,-3.28,7.49,14.36,-6.86,-0.53,12.36,-4.87,
-0.15,3,-3.15,7.47,14.0640944549863,-6.58913935620362,-0.509270714797901,12.0640944549863,-4.5940944549863,
-0.19,2.88,-3.07,7.40,13.81,-6.42,-0.50,11.81,-4.41,
-0.29,2.63,-2.92,7.20,13.28,-6.09,-0.48,11.28,-4.08,
-0.19,2.66,-2.85,7.40,13.35,-5.95,-0.47,11.35,-3.95,
0.04,2.67,-2.63,7.85,13.37,-5.51,-0.44,11.37,-3.52,
0.58,2.53,-1.95,8.93,13.07,-4.14,-0.34,11.07,-2.14,
0.91,2.52,-1.61,9.59,13.05,-3.46,-0.29,11.05,-1.46,
1.32,2.17,-0.85,10.41,12.31,-1.91,-0.16,10.31,0.10,
1.72,2.37,-0.65,11.21,12.74,-1.53,-0.13,10.74,0.47,
1.46,2.38,-0.92,10.69,12.76,-2.07,-0.17,10.76,-0.07,
1.91,2.13,-0.22,11.59,12.23,-0.64,-0.05,10.23,1.36,
1.97,2.1,-0.13,11.71,12.2,-0.4609136728209,-0.0390406337789826,10.2,1.51,
1.94,2.11,-0.17,11.65,12.19,-0.54,-0.05,10.19,1.46,
2.02,1.99,0.03,11.81,11.93,-0.13,-0.01,9.93,1.88,
1.84,1.81,0.03,11.45,11.56,-0.11,-0.01,9.56,1.89,
1.72,1.72,0.00,11.21,11.37,-0.16,-0.01,9.37,1.84,
1.57,1.66,-0.09,10.91,11.24,-0.33,-0.03,9.24,1.67,
