#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
0.00,87.90
1
67.00,66.03
67.00,66.03
67.00,65.96
67.00,65.89
67.00,65.89
67.00,66.03
67.00,66.03
67.00,66.03
67.00,66.03
67.00,65.96
67.00,65.96
67.00,66.03
67.00,66.03
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.89
67.00,66.03
67.00,66.03
67.00,65.89
67.00,65.96
67.00,65.96
67.00,66.03
67.00,66.03
67.00,66.03
67.00,65.96
67.00,66.03
67.00,66.11
67.00,66.03
67.00,65.89
67.00,65.82
67.00,65.96
67.00,66.03
67.00,66.03
67.00,66.03
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.96
67.00,66.03
67.00,65.89
67.00,65.89
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.96
67.00,66.03
67.00,66.03
67.00,66.03
67.00,65.96
67.00,66.03
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.89
67.00,65.89
67.00,65.96
67.00,66.03
67.00,66.03
67.00,66.03
67.00,66.03
67.00,65.89
67.00,65.96
67.00,65.89
67.00,65.96
67.00,65.96
67.00,66.03
67.00,66.03
67.00,65.96
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,66.03
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.96
67.00,65.96
67.00,66.03
67.00,66.03
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.96
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.89
67.00,65.89
67.00,66.03
67.00,66.03
67.00,65.96
67.00,65.82
67.00,65.89
67.00,65.89
67.00,65.96
67.00,65.96
67.00,66.03
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.82
67.00,65.82
67.00,65.96
67.00,65.96
67.00,65.89
67.00,65.89
67.00,65.89
67.00,65.89
67.00,65.96
67.00,65.96
67.00,65.96
67.00,65.89
67.00,66.03
67.00,65.82
67.00,65.82
67.00,65.89
67.00,65.89
67.00,66.03
67.00,66.47
67.00,66.54
67.00,66.84
68.00,67.13
67.00,67.35
67.00,67.71
67.00,67.93
67.00,68.16
67.00,68.89
67.00,69.19
67.00,69.26
67.00,69.63
67.00,70.30
67.00,70.67
67.00,71.04
67.00,71.48
67.00,71.92
67.00,72.29
67.00,72.58
67.00,73.17
68.00,73.53
68.00,74.04
68.00,74.04
68.00,75.12
69.00,75.26
69.00,75.47
69.00,76.60
70.00,76.60
70.00,76.95
70.00,77.50
71.00,77.91
71.00,78.58
72.00,78.65
72.00,79.11
73.00,79.70
73.00,80.02
74.00,80.47
75.00,81.09
75.00,81.40
76.00,81.64
77.00,81.94
77.00,82.58
79.00,83.03
79.00,83.20
80.00,83.53
81.00,84.02
81.00,84.38
82.00,84.58
82.00,84.58
83.00,85.32
83.00,85.69
83.00,85.96
83.00,86.35
84.00,86.65
84.00,86.85
85.00,87.12
85.00,87.38
86.00,87.67
86.00,87.94
86.00,88.19
87.00,88.43
87.00,88.57
88.00,88.73
88.00,88.97
89.00,89.07
89.00,89.20
89.00,89.28
90.00,89.53
90.00,89.60
90.00,89.67
90.00,89.74
90.00,89.85
90.00,89.90
91.00,89.94
91.00,89.94
91.00,90.00
91.00,90.00
91.00,90.00
91.00,89.96
91.00,89.93
91.00,89.89
91.00,89.89
91.00,89.75
91.00,89.69
91.00,89.60
91.00,89.43
90.00,89.35
91.00,89.24
91.00,89.13
91.00,88.85
91.00,88.78
91.00,88.65
91.00,88.48
90.00,88.16
90.00,88.03
90.00,87.87
90.00,87.63
90.00,87.31
90.00,87.08
90.00,86.89
89.00,86.48
89.00,86.27
89.00,86.05
89.00,85.78
89.00,85.32
88.00,85.08
88.00,84.78
88.00,84.78
88.00,83.96
88.00,83.69
